Area (SQM),Average Resale Price,HDB Town,Median_Resale_Price,Number of Records,Planning_Region,Sales,Storey_Level,Total Resale Price,Unit Area (PSF),Year-Month,Year,Code,Col,Name,Name Sg,Row
103.5,498333.3333,BISHAN,471000,1,Central Region,6,Low,2990000,447.3113662,1,2012,BS,6,BISHAN,BISHAN,3
108,566600,BISHAN,577500,1,Central Region,10,Mid,5666000,487.3973463,1,2012,BS,6,BISHAN,BISHAN,3
99.45454546,500616,BISHAN,523000,1,Central Region,11,High,5506776,467.6386893,1,2012,BS,6,BISHAN,BISHAN,3
81.57142857,492920.5714,BUKIT MERAH,435000,1,Central Region,14,Low,6900888,561.3958795,1,2012,BM,6,BUKIT MERAH,BUKIT MERAH,8
65.16666667,384833.3333,BUKIT MERAH,381500,1,Central Region,12,Mid,4618000,548.6274347,1,2012,BM,6,BUKIT MERAH,BUKIT MERAH,8
89.34375,572336.375,BUKIT MERAH,651000,1,Central Region,32,High,18314764,595.1377751,1,2012,BM,6,BUKIT MERAH,BUKIT MERAH,8
122,658000,BUKIT TIMAH,658000,1,Central Region,1,Low,658000,501.0677006,1,2012,BT,5,BUKIT TIMAH,BUKIT TIMAH,6
65,427000,BUKIT TIMAH,427000,1,Central Region,1,Mid,427000,610.3020995,1,2012,BT,5,BUKIT TIMAH,BUKIT TIMAH,6
104,605000,BUKIT TIMAH,605000,1,Central Region,1,High,605000,540.4460922,1,2012,BT,5,BUKIT TIMAH,BUKIT TIMAH,6
66.5,414500,CENTRAL AREA,432500,1,Central Region,4,Mid,1658000,579.0728924,1,2012,CE,7,CENTRAL AREA,CENTRAL AREA,7
76.1,495100,CENTRAL AREA,494000,1,Central Region,10,High,4951000,604.4197059,1,2012,CE,7,CENTRAL AREA,CENTRAL AREA,7
81.66666667,415555.5556,GEYLANG,370500,1,Central Region,18,Low,7480000,472.7315726,1,2012,GL,10,GEYLANG,GEYLANG,4
75.36363636,394681.8182,GEYLANG,310000,1,Central Region,11,Mid,4341500,486.5367171,1,2012,GL,10,GEYLANG,GEYLANG,4
77.12380952,413232.7619,GEYLANG,381000,1,Central Region,21,High,8677888,497.7790542,1,2012,GL,10,GEYLANG,GEYLANG,4
76.66666667,476777.5,KALLANG/WHAMPOA,354000,1,Central Region,6,Low,2860665,577.7494176,1,2012,KL,9,KALLANG/WHAMPOA,KALLANG/WHAMPOA,4
88.42857143,488714.2857,KALLANG/WHAMPOA,425000,1,Central Region,7,Mid,3421000,513.4436307,1,2012,KL,9,KALLANG/WHAMPOA,KALLANG/WHAMPOA,4
85.28571429,468381.7143,KALLANG/WHAMPOA,415500,1,Central Region,28,High,13114688,510.2158974,1,2012,KL,9,KALLANG/WHAMPOA,KALLANG/WHAMPOA,4
65,394000,MARINE PARADE,394000,1,Central Region,1,Mid,394000,563.1358951,1,2012,MP,10,MARINE PARADE,MARINE PARADE,5
99.6,673777.6,MARINE PARADE,810000,1,Central Region,5,High,3368888,628.4743765,1,2012,MP,10,MARINE PARADE,MARINE PARADE,5
62.375,350000,QUEENSTOWN,320000,1,Central Region,8,Low,2800000,521.3001277,1,2012,QT,5,QUEENSTOWN,QUEENSTOWN,7
61.5,374812.5,QUEENSTOWN,370000,1,Central Region,8,Mid,2998500,566.1992582,1,2012,QT,5,QUEENSTOWN,QUEENSTOWN,7
85,557744.4,QUEENSTOWN,457500,1,Central Region,20,High,11154888,609.6023582,1,2012,QT,5,QUEENSTOWN,QUEENSTOWN,7
97.11111111,503666.6667,TOA PAYOH,498000,1,Central Region,9,Low,4533000,481.841977,1,2012,TP,7,TOA PAYOH,TOA PAYOH,3
91.33333333,481833.3333,TOA PAYOH,477500,1,Central Region,6,Mid,2891000,490.1148696,1,2012,TP,7,TOA PAYOH,TOA PAYOH,3
87,476409.5172,TOA PAYOH,422888,1,Central Region,29,High,13815876,508.7348881,1,2012,TP,7,TOA PAYOH,TOA PAYOH,3
86.14285714,394666.6667,BEDOK,392000,1,East Region,21,Low,8288000,425.6391048,1,2012,BD,11,BEDOK,BEDOK,4
