Year,Year-Month,Planning Region,HDB Town,Storey_Level,Area (SQM),Total Resale Price,Average Resale Price,Median,Unit Area (PSF),Sales
2012,1,Central Region,BISHAN,Low,103.5,2990000,498333.3333,471000,447.3113662,6
2012,1,Central Region,BISHAN,Mid,108,5666000,566600,577500,487.3973463,10
2012,1,Central Region,BISHAN,High,99.45454546,5506776,500616,523000,467.6386893,11
2012,10,Central Region,BISHAN,Low,110.8888889,5283000,587000,535000,491.7908169,9
2012,10,Central Region,BISHAN,Mid,114.4285714,4604000,657714.2857,681000,533.9900251,7
2012,10,Central Region,BISHAN,High,105.3333333,11187000,621500,585000,548.1578662,18
2012,11,Central Region,BISHAN,Low,92.28571429,3540000,505714.2857,495000,509.0976469,7
2012,11,Central Region,BISHAN,Mid,101.7142857,3964000,566285.7143,564000,517.2303468,7
2012,11,Central Region,BISHAN,High,104.7894737,11706000,616105.2632,608000,546.2200094,19
2012,12,Central Region,BISHAN,Low,116.6,3090888,618177.6,513000,492.5440298,5
2012,12,Central Region,BISHAN,Mid,117.4545455,7230000,657272.7273,667000,519.8836139,11
2012,12,Central Region,BISHAN,High,86.83333333,6288000,524000,485500,560.6284845,12
2012,2,Central Region,BISHAN,Low,78.5,3252000,406500,382500,481.0843606,8
2012,2,Central Region,BISHAN,Mid,89.85714286,3359000,479857.1429,500000,496.1233917,7
2012,2,Central Region,BISHAN,High,109.8333333,7266300,605525,636750,512.1866562,12
2012,3,Central Region,BISHAN,Low,115.2352941,9790276,575898.5882,560000,464.2916197,17
2012,3,Central Region,BISHAN,Mid,109,14066000,586083.3333,589000,499.5318904,24
2012,3,Central Region,BISHAN,High,116.625,5290000,661250,681500,526.7497934,8
2012,4,Central Region,BISHAN,Low,106.85,10952000,547600,536500,476.1231066,20
2012,4,Central Region,BISHAN,Mid,115.8181818,6632000,602909.0909,573000,483.6213168,11
2012,4,Central Region,BISHAN,High,98.57142857,3904000,557714.2857,615000,525.6432162,7
2012,5,Central Region,BISHAN,Low,108.05,11198000,559900,519000,481.411036,20
2012,5,Central Region,BISHAN,Mid,112.5714286,4260000,608571.4286,545000,502.2428089,7
2012,5,Central Region,BISHAN,High,104.1428571,3942000,563142.8571,570000,502.3650728,7
2012,6,Central Region,BISHAN,Low,93.66666667,8574088,476338.2222,474000,472.4552855,18
2012,6,Central Region,BISHAN,Mid,100.5,3999000,499875,487500,462.0890752,8
2012,6,Central Region,BISHAN,High,96.6875,8103000,506437.5,537500,486.6154245,16
2012,7,Central Region,BISHAN,Low,104.75,4226000,528250,508500,468.5067148,8
2012,7,Central Region,BISHAN,Mid,103.875,4294000,536750,529500,480.0554029,8
2012,7,Central Region,BISHAN,High,106.1111111,10827000,601500,567500,526.6294175,18
2012,8,Central Region,BISHAN,Low,94.33333333,4547000,505222.2222,434000,497.5624637,9
2012,8,Central Region,BISHAN,Mid,99.76923077,7181800,552446.1538,500000,514.426907,13
2012,8,Central Region,BISHAN,High,101.8333333,10040500,557805.5556,525000,508.8891848,18
2012,9,Central Region,BISHAN,Low,111.8571429,4203000,600428.5714,551000,498.6869157,7
2012,9,Central Region,BISHAN,Mid,119.3333333,4097888.88,682981.48,665500,531.7132723,6
2012,9,Central Region,BISHAN,High,107.8333333,7680280,640023.3333,647500,551.4080762,12
2012,1,North-East Region,ANG MO KIO,Low,83.89473684,7738800,407305.2632,408000,451.0406159,19
2012,1,North-East Region,ANG MO KIO,Mid,77.15384615,4945888,380452.9231,342000,458.114133,13
2012,1,North-East Region,ANG MO KIO,High,81.14583333,20127288.88,419318.5183,372500,480.0739752,48
