Year,Year-Month,Area (SQM),Total Resale Price,Average Resale Price,Median Resale Price,Flat_Type,Sales,Unit Area (PSF)
2012,2012-01,31,490000,245000,245000,1 ROOM,2,734.2344138
2012,2012-01,46.57142857,3828300,273450,260000,2 ROOM,14,545.4924114
2012,2012-01,68.44355556,154659169.9,343687.0442,334000,3 ROOM,450,466.5099855
2012,2012-01,95.99644128,248248842,441723.9181,428000,4 ROOM,562,427.4901653
2012,2012-01,118.4678218,212869944,526905.802,510000,5 ROOM,404,413.2024835
2012,2012-01,144.8888889,77547852,615459.1429,610000,EXECUTIVE,126,394.6339926
2012,2012-01,166,745000,745000,745000,MULTI-GENERATION,1,416.9447698
2012,2012-02,44.30769231,3395800,261215.3846,258000,2 ROOM,13,547.709112
2012,2012-02,67.54762931,157707194,339886.194,332000,3 ROOM,464,467.4700142
2012,2012-02,96.88151659,281657752,444956.9542,430000,4 ROOM,633,426.6850393
2012,2012-02,118.8229167,200063360,520998.3333,505000,5 ROOM,384,407.348828
2012,2012-02,145,82929752,614294.4593,600000,EXECUTIVE,135,393.5853652
2012,2012-03,46.96,6674776,266991.04,265000,2 ROOM,25,528.2006659
2012,2012-03,67.76465257,227400576,343505.4018,333000,3 ROOM,662,470.9347095
2012,2012-03,96.66232356,415073818.9,450677.3278,432000,4 ROOM,921,433.1505057
2012,2012-03,118.709282,305414390,534876.3398,510000,5 ROOM,571,418.599837
2012,2012-03,144.547486,111294628,621757.6983,603000,EXECUTIVE,179,399.6142569
2012,2012-03,165.5,1660000,830000,830000,MULTI-GENERATION,2,465.9190201
2012,2012-04,45.82608696,6207388,269886.4348,268000,2 ROOM,23,547.1402028
2012,2012-04,67.98890756,206671518,347347.0891,339000,3 ROOM,595,474.6308316
2012,2012-04,95.90352941,379913988,446957.6329,432000,4 ROOM,850,432.974295
2012,2012-04,118.8235294,262702189,532864.4807,509000,5 ROOM,493,416.6243699
2012,2012-04,143.8860104,118965897,616403.6114,605000,EXECUTIVE,193,397.994389
2012,2012-04,164,720000,720000,720000,MULTI-GENERATION,1,407.8673996
2012,2012-05,44.2631579,5004888,263415.1579,265000,2 ROOM,19,552.8772414
2012,2012-05,68.02291994,221655136,347967.2465,340000,3 ROOM,637,475.2404973
2012,2012-05,95.56612022,414728878,453255.6044,435000,4 ROOM,915,440.6254455
2012,2012-05,118.0519481,293427118,544391.6846,518888,5 ROOM,539,428.418948
2012,2012-05,143.0285714,130356436,620744.9333,610000,EXECUTIVE,210,403.20019
2012,2012-05,156,2178000,726000,708000,MULTI-GENERATION,3,432.3568738
2012,2012-06,31,260000,260000,260000,1 ROOM,1,779.1875412
2012,2012-06,46.23809524,5496300,261728.5714,265000,2 ROOM,21,525.8738135
2012,2012-06,67.93850365,192001700,350368.0657,340000,3 ROOM,548,479.1140248
2012,2012-06,96.187214,334914292,450759.4778,435000,4 ROOM,743,435.3693654
2012,2012-06,118.7359667,259295432.9,539075.744,518000,5 ROOM,481,421.7915199
2012,2012-06,144.0353535,124030064,626414.4646,608500,EXECUTIVE,198,404.0387513
2012,2012-06,132,610000,610000,610000,MULTI-GENERATION,1,429.32507
2012,2012-07,31,923000,230750,230000,1 ROOM,4,691.5289428
2012,2012-07,45.68181818,5890888,267767.6364,267500,2 ROOM,22,544.5591374
2012,2012-07,67.83760399,211782473,352383.4825,343000,3 ROOM,601,482.5867443
2012,2012-07,96.28937729,370413198,452274.967,438000,4 ROOM,819,436.3696308
2012,2012-07,118.4737828,288051154.8,539421.6381,518000,5 ROOM,534,422.9961883
2012,2012-07,142.758794,124302128,624633.809,605000,EXECUTIVE,199,406.4928982
2012,2012-08,31,706500,235500,236000,1 ROOM,3,705.7640998
2012,2012-08,44.52173913,6301100,273960.8696,273000,2 ROOM,23,571.6717889
2012,2012-08,68.17277677,196256703,356182.7641,347500,3 ROOM,551,485.391606
2012,2012-08,96.09823678,367406633,462728.7569,445000,4 ROOM,794,447.3437938
2012,2012-08,118.6698473,287322103,548324.624,522000,5 ROOM,524,429.2672058
2012,2012-08,143.1722222,113485228,630473.4889,616500,EXECUTIVE,180,409.1084118
2012,2012-09,31,926500,231625,235500,1 ROOM,4,694.1512085
2012,2012-09,44.68181818,5932500,269659.0909,264500,2 ROOM,22,560.6793674
2012,2012-09,68.08174442,177412108,359862.288,350000,3 ROOM,493,491.0616374
2012,2012-09,96.6503937,294099036.9,463148.0896,450000,4 ROOM,635,445.1912246
2012,2012-09,118.2157773,238427432,553195.8979,527000,5 ROOM,431,434.744258
2012,2012-09,142.1156069,109822076,634809.6879,618000,EXECUTIVE,173,414.9847309
2012,2012-09,165,1885000,942500,942500,MULTI-GENERATION,2,530.673939
2012,2012-10,46.66666667,4285500,285700,280000,2 ROOM,15,568.7662332
2012,2012-10,67.56833013,185379092,355813.9962,347000,3 ROOM,521,489.2267404
2012,2012-10,95.87565445,359796908,470938.3613,452000,4 ROOM,764,456.3374092
2012,2012-10,118.7700422,262690724.9,554199.8415,532500,5 ROOM,474,433.500729
2012,2012-10,141.5460123,106413376,652842.7975,630000,EXECUTIVE,163,428.4906248
2012,2012-11,31,487000,243500,243500,1 ROOM,2,729.739101
2012,2012-11,44.75,4430500,276906.25,276000,2 ROOM,16,574.8705545
2012,2012-11,68.03312629,174457587,361195.8323,350000,3 ROOM,483,493.2335931
2012,2012-11,96.55505279,312415918,471215.5626,455000,4 ROOM,663,453.3931613
2012,2012-11,118.6408978,223128828,556430.9925,535000,5 ROOM,401,435.7197371
2012,2012-11,143.0828402,110215340,652161.7751,624000,EXECUTIVE,169,423.4460961
2012,2012-11,166,970000,970000,970000,MULTI-GENERATION,1,542.8676868
2012,2012-12,46.0625,4450000,278125,274000,2 ROOM,16,560.948342
2012,2012-12,67.71934732,155172738,361708.014,353000,3 ROOM,429,496.2216551
2012,2012-12,96.94018182,259087308,471067.8327,452000,4 ROOM,550,451.4503195
2012,2012-12,118.9150142,196805129,557521.6119,526500,5 ROOM,353,435.5673932
2012,2012-12,141.5763889,92562463,642794.8819,636000,EXECUTIVE,144,421.8051957
2012,2012-12,134,810000,810000,810000,MULTI-GENERATION,1,561.5786211
2013,2013-01,31,240000,240000,240000,1 ROOM,1,719.250038
2013,2013-01,44.76,6899000,275960,278000,2 ROOM,25,572.7780994
2013,2013-01,67.88910675,166597238,362956.9455,354000,3 ROOM,459,496.6899385
2013,2013-01,95.64798599,270424706,473598.4343,450000,4 ROOM,571,460.0073531
2013,2013-01,117.8537736,237426250,559967.5708,526500,5 ROOM,424,441.4176855
2013,2013-01,141.1523179,97165128,643477.6689,622000,EXECUTIVE,151,423.5218405
2013,2013-01,158.5,1500000,750000,750000,MULTI-GENERATION,2,439.6047156
2013,2013-02,44.53846154,3657888,281376,280000,2 ROOM,13,586.9244284
2013,2013-02,67.22936803,97242764,361497.2639,352000,3 ROOM,269,499.5469727
2013,2013-02,96.34202899,165543292,479835.629,455000,4 ROOM,345,462.7080439
2013,2013-02,119.6813725,116952904,573298.549,550000,5 ROOM,204,445.0252236
2013,2013-02,145.9454545,37153888,675525.2364,653000,EXECUTIVE,55,430.0127673
2013,2013-03,46.63636364,3069000,279000,280000,2 ROOM,11,555.7889
2013,2013-03,67.45061728,146480833,361681.0691,353000,3 ROOM,405,498.1615396
2013,2013-03,95.82772277,242658081,480511.0515,460000,4 ROOM,505,465.8462014
2013,2013-03,119.3594306,160570896,571426.6762,540000,5 ROOM,281,444.768599
2013,2013-03,142.9126214,68566376,665692.9709,648000,EXECUTIVE,103,432.7466669
2013,2013-03,159,726000,726000,726000,MULTI-GENERATION,1,424.1991969
2013,2013-04,46.43478261,6539000,284304.3478,285000,2 ROOM,23,568.8142008
2013,2013-04,69.02172043,173320756,372732.8086,355000,3 ROOM,465,501.6977891
2013,2013-04,95.9260355,328206464,485512.5207,463000,4 ROOM,676,470.2126232
2013,2013-04,118.1698113,213974980,576751.9677,548888,5 ROOM,371,453.4327539
2013,2013-04,144.4935897,101732558,652131.7821,633444,EXECUTIVE,156,419.2925359
2013,2013-04,166,920000,920000,920000,MULTI-GENERATION,1,514.8848163
2013,2013-05,31,238000,238000,238000,1 ROOM,1,713.2562877
2013,2013-05,44.47368421,5151800,271147.3684,278500,2 ROOM,19,566.4122422
