Year,Planning Region,HDB Town,Storey_Level,Area (SQM),Total Resale Price,Average Resale Price,Median Resale Price,Unit Area (PSF),Sales
2012,Central Region,BISHAN,Low,99.11688312,39705976,515662.026,500000,483.3345711,77
2012,Central Region,BISHAN,Low-Mid,109.7719298,31940276,560355.7193,538000,474.2451032,57
2012,Central Region,BISHAN,Mid,106,44395688.88,576567.3881,555000,505.3293863,77
2012,Central Region,BISHAN,Mid-High,111.3809524,24958000,594238.0952,577500,495.6554759,42
2012,Central Region,BISHAN,High,103.0189873,91740856,580638.3291,576500,523.6230671,158
2012,Central Region,BUKIT MERAH,Low,80.45762712,57714576,489106.5763,450000,564.7635087,118
2012,Central Region,BUKIT MERAH,Low-Mid,83.58878505,53018876,495503.514,472000,550.7177465,107
2012,Central Region,BUKIT MERAH,Mid,81.18548387,60411164,487186.8065,407000,557.5033492,124
2012,Central Region,BUKIT MERAH,Mid-High,81.12087912,44575488,489840.5275,425000,560.9865013,91
2012,Central Region,BUKIT MERAH,High,88.35604396,267186608,587223.3143,615000,617.4437131,455
2012,Central Region,BUKIT TIMAH,Low,104.75,2368000,592000,605000,525.0468058,4
2012,Central Region,BUKIT TIMAH,Low-Mid,113,3900500,650083.3333,642500,534.4670475,6
2012,Central Region,BUKIT TIMAH,Mid,103.1666667,7489000,624083.3333,576000,561.9963973,12
2012,Central Region,BUKIT TIMAH,Mid-High,107.8888889,5562800,618088.8889,602000,532.2363862,9
2012,Central Region,BUKIT TIMAH,High,100,8399500,646115.3846,605000,600.2614151,13
2012,Central Region,CENTRAL AREA,Low,86.33333333,2574000,429000,403000,461.6460548,6
2012,Central Region,CENTRAL AREA,Low-Mid,79.33333333,4119300,457700,413000,535.9886037,9
2012,Central Region,CENTRAL AREA,Mid,68.47619048,8757000,417000,410000,565.7529267,21
2012,Central Region,CENTRAL AREA,Mid-High,72.66666667,5550888,462574,457500,591.3931983,12
2012,Central Region,CENTRAL AREA,High,73.09756098,41291338,503552.9024,473500,639.9890788,82
2012,Central Region,GEYLANG,Low,73.74035088,42584388,373547.2632,329000,470.6203524,114
2012,Central Region,GEYLANG,Low-Mid,77.375,35576800,386704.3478,326500,464.3107497,92
2012,Central Region,GEYLANG,Mid,80.885,51365688,428047.4,381250,491.6479348,120
2012,Central Region,GEYLANG,Mid-High,78.95416667,28434164,394918.9444,353500,464.6899277,72
2012,Central Region,GEYLANG,High,81.1988764,120467423,451188.8502,408000,516.2245861,267
2012,Central Region,KALLANG/WHAMPOA,Low,87.01222222,43885353,487615.0333,439500,520.6275812,90
2012,Central Region,KALLANG/WHAMPOA,Low-Mid,82.18181818,28848888,437104.3636,381000,494.1283167,66
2012,Central Region,KALLANG/WHAMPOA,Mid,80.92307692,46064000,442923.0769,402500,508.4945076,104
2012,Central Region,KALLANG/WHAMPOA,Mid-High,75.5,21736688,418013.2308,370000,514.3673839,52
2012,Central Region,KALLANG/WHAMPOA,High,82.59627329,154862984,480940.9441,434500,540.9556294,322
2012,Central Region,MARINE PARADE,Low,83.15384615,6553000,504076.9231,508000,563.1768828,13
2012,Central Region,MARINE PARADE,Low-Mid,77.38461539,5968800,459138.4615,438000,551.2129242,13
2012,Central Region,MARINE PARADE,Mid,77.95652174,11390500,495239.1304,467000,590.1913559,23
2012,Central Region,MARINE PARADE,Mid-High,79.33333333,7544000,502933.3333,422000,588.9590017,15
2012,Central Region,MARINE PARADE,High,90.84444444,54731052,608122.8,546250,621.9038691,90
2012,Central Region,QUEENSTOWN,Low,66.20930233,35164988,408895.2093,335000,573.750869,86
2012,Central Region,QUEENSTOWN,Low-Mid,70.94117647,21502188,421611.5294,380000,552.1339317,51
2012,Central Region,QUEENSTOWN,Mid,66.93478261,38057041,413663.4891,365000,574.1504099,92
2012,Central Region,QUEENSTOWN,Mid-High,70.39189189,32251652,435833.1351,379000,575.2120206,74
2012,Central Region,QUEENSTOWN,High,78.8370607,172076042.9,549763.7153,485000,647.8522842,313
2012,Central Region,TOA PAYOH,Low,83.94059406,43378274,429487.8614,365000,475.3452966,101
2012,Central Region,TOA PAYOH,Low-Mid,82.21176471,35609952,418940.6118,362000,473.422438,85
2012,Central Region,TOA PAYOH,Mid,82.20512821,51537900,440494.8718,375000,497.8199437,117
2012,Central Region,TOA PAYOH,Mid-High,78.11538462,31916576,409186.8718,355000,486.6485814,78
2012,Central Region,TOA PAYOH,High,88.38858696,191916760,521512.9348,440000,548.1497736,368
2012,East Region,BEDOK,Low,87.76470588,106197776,416461.8667,397000,440.8447623,255
2012,East Region,BEDOK,Low-Mid,85.21118012,64136056,398360.5963,380000,434.3203107,161
2012,East Region,BEDOK,Mid,86.38489209,117432964,422420.7338,403000,454.294812,278
2012,East Region,BEDOK,Mid-High,90.92366412,56887100,434252.6718,413000,443.7066276,131
2012,East Region,BEDOK,High,89.41061947,256356016,453727.4619,428000,471.4507246,565
2012,East Region,PASIR RIS,Low,121.1586207,73595938,507558.1931,485000,389.1901747,145
2012,East Region,PASIR RIS,Low-Mid,122.0119048,41490032,493928.9524,476000,376.0907242,84
2012,East Region,PASIR RIS,Mid,121.1483871,79462075,512658.5484,495000,393.1342782,155
2012,East Region,PASIR RIS,Mid-High,123.961165,52987240,514439.2233,507000,385.5482802,103
2012,East Region,PASIR RIS,High,123.8959538,187796328,542763.9538,526000,406.9904511,346
2012,East Region,TAMPINES,Low,104.5072464,161869788,469187.7913,460000,417.0908319,345
2012,East Region,TAMPINES,Low-Mid,102.7087379,94309601,457813.5971,447444,414.1061118,206
2012,East Region,TAMPINES,Mid,104.7118644,170376609,481289.8559,472444,427.0130635,354
2012,East Region,TAMPINES,Mid-High,105.443299,93251006,480675.2887,471500,423.5094996,194
2012,East Region,TAMPINES,High,103.5602837,276780432,490745.4468,480000,440.2439465,564
2012,North Region,SEMBAWANG,Low,109.2604167,43845500,456723.9583,456000,388.3481917,96
