Planning Region,town,street_name,Flat_Type,Storey_Level,Resale Price,Area (SQM),Sales,Area Unit (PSF)
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,01 TO 03,312177.7662,69.93506494,77,414.7031478
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,01 TO 03,431559,95.125,32,421.4789155
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,01 TO 03,565500,124.3333333,6,422.5473455
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,01 TO 05,357000,72.4,5,458.0996875
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,01 TO 05,463333.3333,94,9,457.9267751
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,04 TO 06,334751.2727,70.78787879,99,439.3328563
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,04 TO 06,473739.2,93.86666667,60,468.8762902
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,04 TO 06,649526.8571,122.8571429,7,491.1645883
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,06 TO 10,368500,71.625,8,477.9728219
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,06 TO 10,460000,88,1,485.6299972
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,07 TO 09,340707.1818,71.22727273,88,444.3910648
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,07 TO 09,496413.9636,94.32727273,55,488.91916
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,07 TO 09,713878.8,121.8,10,544.5121091
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,EXECUTIVE,07 TO 09,780000,163,1,444.5671247
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,10 TO 12,348452.642,70.13580247,81,461.5665598
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,10 TO 12,494476.0851,93.40425532,47,491.8231596
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,10 TO 12,759928.5714,121.9285714,14,579.0254242
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,11 TO 15,393000,73,1,500.1497268
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,11 TO 15,527000,97,1,504.741747
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,13 TO 15,361142.8571,68.28571429,7,491.3370552
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,13 TO 15,558524.25,90.9375,16,570.596849
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,13 TO 15,714833.3333,122.3333333,6,542.8631119
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,16 TO 18,482666.6667,70,3,640.5892005
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,16 TO 18,648307.6923,90.30769231,13,666.9400161
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,16 TO 18,862007,121,8,661.8442008
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,19 TO 21,464125,70,8,615.980931
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,19 TO 21,677377.6,92.2,5,682.5433749
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,19 TO 21,915000,120,2,708.3863655
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,22 TO 24,467333.3333,70,3,620.2389911
